fecha_evento,avg_sentiment,n_noticias_beto,n_positivas,n_negativas,n_neutrales
2021-01,0.0331,1,0,0,1
2021-03,0.311,3,0,0,3
2021-04,-0.0273,2,0,0,2
2021-05,0.3667,1,0,0,1
2021-06,0.2246,1,0,0,1
2021-08,-0.183,2,0,1,1
2021-09,-0.008,6,0,1,5
2021-10,0.1342,6,3,1,2
2021-11,-0.0307,14,1,2,11
2021-12,-0.0154,8,0,1,7
2022-01,0.154,7,1,0,6
2022-02,0.2186,3,0,0,3
2022-03,-0.1427,7,1,1,5
2022-04,-0.4377,16,0,8,8
2022-05,-0.2193,26,2,7,17
2022-06,-0.2396,22,1,8,13
2022-07,-0.1065,9,1,2,6
2022-08,0.2306,5,0,0,5
2022-09,0.022,7,1,1,5
2022-10,-0.3062,8,1,3,4
2022-11,-0.1876,11,2,4,5
2022-12,-0.2859,12,1,5,6
2023-01,-0.2345,8,0,3,5
2023-02,-0.1952,4,0,1,3
2023-03,-0.2872,17,0,7,10
2023-04,-0.0147,5,2,1,2
2023-05,-0.1529,15,2,5,8
2023-06,-0.0156,9,2,2,5
2023-07,0.0675,5,0,1,4
2023-08,-0.1638,13,1,4,8
2023-09,-0.211,18,1,9,8
2023-10,-0.437,8,0,4,4
2023-11,0.0781,9,1,1,7
2023-12,0.0412,7,1,0,6
2024-01,0.012,10,2,2,6
2024-02,-0.0694,14,2,3,9
2024-03,-0.4037,7,0,4,3
2024-04,0.2255,12,1,0,11
2024-05,0.006,8,0,1,7
2024-06,0.1765,14,6,2,6
2024-07,-0.0014,5,0,0,5
2024-08,-0.4279,3,0,2,1
2024-09,0.0614,7,0,1,6
2024-10,-0.4619,12,0,7,5
2024-11,-0.0232,7,1,2,4
2024-12,-0.249,9,1,4,4
2025-01,-0.3033,14,1,6,7
2025-02,-0.2148,13,1,5,7
2025-03,0.0431,18,4,3,11
2025-04,-0.0146,8,2,2,4
2025-05,0.2114,8,2,0,6
2025-06,0.1065,14,2,0,12
2025-07,0.0873,8,1,1,6
2025-08,0.0482,14,1,0,13
2025-09,0.1864,11,3,1,7
2025-10,0.0853,6,1,1,4
2025-11,-0.1994,4,0,2,2
2025-12,0.0296,7,0,1,6
