fecha_evento,n_noticias
2021-01,1
2021-03,3
2021-04,2
2021-05,1
2021-06,1
2021-08,2
2021-09,6
2021-10,6
2021-11,14
2021-12,8
2022-01,7
2022-02,3
2022-03,7
2022-04,16
2022-05,26
2022-06,22
2022-07,9
2022-08,5
2022-09,7
2022-10,8
2022-11,11
2022-12,12
2023-01,8
2023-02,4
2023-03,17
2023-04,5
2023-05,15
2023-06,9
2023-07,5
2023-08,13
2023-09,18
2023-10,8
2023-11,9
2023-12,7
2024-01,10
2024-02,14
2024-03,7
2024-04,12
2024-05,8
2024-06,14
2024-07,5
2024-08,3
2024-09,7
2024-10,12
2024-11,7
2024-12,9
2025-01,14
2025-02,13
2025-03,18
2025-04,8
2025-05,8
2025-06,14
2025-07,8
2025-08,14
2025-09,11
2025-10,6
2025-11,4
2025-12,7
