departamento,provincia,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
AMAZONAS,BAGUA,ALLSKY_SFC_SW_DWN,2021,14.94,14.92,14.31,14.97,13.93,13.07,13.92,15.29,17.03,17.01,16.64,16.09,15.17
AMAZONAS,BAGUA,ALLSKY_SFC_SW_DWN,2022,16.94,13.06,15.76,13.76,13.27,14.74,13.94,15.65,17.77,18.69,18.27,17.64,15.81
AMAZONAS,BAGUA,ALLSKY_SFC_SW_DWN,2023,15.5,11.75,14.82,13.91,13.85,13.3,14.38,16.97,17.3,17.75,16.19,13.15,14.93
AMAZONAS,BAGUA,ALLSKY_SFC_SW_DWN,2024,12.55,15.48,14.55,14.36,14.37,14.72,13.7,16.03,15.39,17.56,17.17,15.24,15.09
AMAZONAS,BAGUA,ALLSKY_SFC_SW_DWN,2025,14.47,14.0,13.73,15.38,13.95,13.04,14.21,15.08,14.92,17.09,15.65,-999.0,-999.0
AMAZONAS,BAGUA,PRECTOTCORR,2021,1.42,1.24,3.4,0.79,0.34,0.37,0.15,0.39,0.8,1.56,1.58,2.02,1.17
AMAZONAS,BAGUA,PRECTOTCORR,2022,0.93,2.24,2.76,1.57,0.6,1.01,0.94,0.48,0.69,0.52,0.41,0.69,1.06
AMAZONAS,BAGUA,PRECTOTCORR,2023,2.5,1.49,3.63,1.93,0.49,0.15,0.07,0.16,0.24,0.68,0.82,2.61,1.23
AMAZONAS,BAGUA,PRECTOTCORR,2024,0.94,1.64,0.59,0.64,0.53,0.82,0.28,0.32,0.53,1.21,0.4,0.99,0.74
AMAZONAS,BAGUA,PRECTOTCORR,2025,1.6,1.81,2.21,1.44,0.39,2.36,0.11,0.09,0.17,2.63,3.33,0.23,1.36
AMAZONAS,BAGUA,QV2M,2021,13.15,13.0,13.53,13.3,12.64,12.09,11.26,11.5,12.03,13.21,12.74,13.32,12.65
AMAZONAS,BAGUA,QV2M,2022,11.73,13.09,13.4,13.75,12.79,11.9,12.43,11.28,11.57,11.48,10.98,11.51,12.15
AMAZONAS,BAGUA,QV2M,2023,12.31,13.12,13.73,13.83,13.37,12.29,12.12,11.79,11.85,12.45,12.63,14.23,12.81
AMAZONAS,BAGUA,QV2M,2024,13.96,14.01,13.24,13.73,13.55,12.61,11.82,11.65,12.33,12.81,10.6,12.92,12.77
AMAZONAS,BAGUA,QV2M,2025,12.82,13.47,13.42,13.69,12.92,13.0,11.43,11.65,12.07,13.21,14.15,10.87,12.71
AMAZONAS,BAGUA,RH2M,2021,72.32,67.0,77.16,73.75,69.26,69.13,65.78,62.15,64.72,67.91,67.76,70.0,68.93
AMAZONAS,BAGUA,RH2M,2022,60.92,70.82,75.12,77.4,71.34,71.06,71.9,63.15,59.77,58.85,54.28,60.07,66.19
AMAZONAS,BAGUA,RH2M,2023,67.99,71.31,75.84,76.5,69.87,67.9,63.83,59.52,56.38,58.2,60.82,71.38,66.6
AMAZONAS,BAGUA,RH2M,2024,69.17,68.47,63.38,67.04,66.14,67.17,64.91,59.5,59.57,62.63,51.67,63.62,63.6
AMAZONAS,BAGUA,RH2M,2025,67.64,69.89,70.83,73.2,70.2,76.15,66.13,62.24,61.62,70.25,75.78,55.26,68.21
AMAZONAS,BAGUA,T2M,2021,21.86,23.07,21.12,21.81,22.13,21.48,21.31,22.53,22.46,23.07,22.53,22.72,22.17
AMAZONAS,BAGUA,T2M,2022,23.1,22.23,21.46,21.4,21.79,20.7,21.26,21.93,23.32,23.58,24.09,23.04,22.33
AMAZONAS,BAGUA,T2M,2023,22.0,22.07,21.71,21.67,22.84,21.99,22.8,23.56,24.65,24.75,24.37,23.39,22.99
AMAZONAS,BAGUA,T2M,2024,23.74,24.0,24.44,23.91,24.02,22.63,22.16,23.39,24.3,24.11,24.27,23.91,23.74
AMAZONAS,BAGUA,T2M,2025,22.66,22.9,22.57,22.37,22.21,20.91,21.42,22.65,23.35,22.51,22.27,23.72,22.46
AMAZONAS,BAGUA,T2M_MAX,2021,30.12,34.49,30.1,30.86,31.65,30.8,31.41,34.25,32.05,33.31,32.56,33.09,34.49
AMAZONAS,BAGUA,T2M_MAX,2022,33.6,34.63,30.29,30.14,30.45,30.82,30.71,31.63,33.13,36.23,35.94,35.21,36.23
AMAZONAS,BAGUA,T2M_MAX,2023,33.58,31.16,30.85,30.1,31.66,30.22,32.19,34.42,35.16,35.55,35.42,32.71,35.55
AMAZONAS,BAGUA,T2M_MAX,2024,33.94,34.98,36.61,33.52,32.84,31.85,31.02,32.21,33.91,33.38,35.66,34.87,36.61
AMAZONAS,BAGUA,T2M_MAX,2025,31.71,32.23,33.2,31.17,30.69,29.6,30.3,32.33,32.68,32.18,32.55,34.95,34.95
AMAZONAS,BAGUA,T2M_MIN,2021,15.28,16.68,15.44,15.5,16.25,14.9,13.34,14.93,15.45,16.44,15.2,14.89,13.34
AMAZONAS,BAGUA,T2M_MIN,2022,14.6,14.75,15.96,15.7,15.04,13.49,15.24,12.31,16.17,15.29,14.65,13.17,12.31
AMAZONAS,BAGUA,T2M_MIN,2023,15.8,16.24,15.42,15.84,15.48,14.94,16.08,15.61,17.27,17.72,16.71,17.43,14.94
AMAZONAS,BAGUA,T2M_MIN,2024,17.41,17.57,15.52,17.32,16.83,16.12,15.4,16.28,17.64,16.93,14.28,16.53,14.28
AMAZONAS,BAGUA,T2M_MIN,2025,16.2,17.0,16.61,16.18,16.18,15.4,13.4,15.48,16.31,16.05,16.5,13.2,13.2
AMAZONAS,BAGUA,WS2M,2021,1.85,1.7,1.49,2.03,2.17,2.13,2.61,2.31,2.32,1.92,1.47,1.69,1.98
AMAZONAS,BAGUA,WS2M,2022,1.9,1.68,1.37,1.9,2.15,1.95,2.22,2.46,2.11,1.78,2.04,1.82,1.95
AMAZONAS,BAGUA,WS2M,2023,1.56,1.79,1.41,1.56,2.09,2.45,2.47,2.29,2.4,1.9,1.97,1.91,1.98
AMAZONAS,BAGUA,WS2M,2024,2.09,2.18,1.98,1.91,2.25,2.06,2.6,2.35,2.43,2.03,1.59,1.79,2.11
AMAZONAS,BAGUA,WS2M,2025,1.66,1.56,1.4,1.74,2.23,2.06,2.7,2.45,2.54,1.9,1.63,1.67,1.96
